full link,volume,chapter,chapter number,pages,text
"vol 1. I.1 (Britons), p. 3",1,,I,3,"THE CURIOSITY, entertained by all civilized nations, of enquiring into the exploits and adventures of their ancestors, commonly excites a regret that the history of remote ages should always be so much involved in obscurity, uncertainty, and contradiction. Ingenious men, possessed of leisure, are apt to push their researches beyond the period, in which literary monuments are framed or preserved; without reflecting, that the history of past events is immediately lost or disfigured, when intrusted to memory and oral tradition, and that the adventures of barbarous nations, even if they were recorded, could afford little or no entertainment to men born in a more cultivated age. The convulsions of a civilized state usually compose the most instructive and most interesting part of its history; but the sudden, violent, and unprepared revolutions, incident to Barbarians, are so much guided by caprice, and terminate so often in cruelty that they disgust us by"
"Vol. 1, I.3 (Saxons), p. 15",1,,I,15,"OF ALL THE BARBAROUS NATIONS, known either in ancient or modern times, the Germans seem to have been the most distinguished both by their manners and political institutions, and to have carried to the highest pitch the virtues of valour and love of liberty; the only virtues which can have place among an uncivilized people, where justice and humanity are commonly neglected. Kingly government, even when established among the Germans, (for it was not universal) possessed a very limited authority; and though the sovereign was usually chosen from among the royal family, he was directed in every measure by the common consent of the nation, over whom he presided. When any important affairs were transacted, all the warriors met in arms; the men of greatest authority employed persuasion to engage their consent; the people expressed their approbation by rattling their armour, or their dissent by murmurs; there was no necessity for a nice scrutiny of votes among a multitude, who were usually carried with a strong current to one side or the other; and the measure, thus suddenly chosen by general agreement, was executed with alacrity, and prosecuted with vigour. Even in war, the princes governed more by example than by authority: But in peace, the civil union was in a great measure dissolved, and the inferior leaders administered justice, after an independant manner, each in his particular district. These were elected by the votes of the people in their great councils; and though regard was paid to nobility in the choice, their personal qualities, chiefly their valour, procured them, from the suffrages of their fellow-citizens, that honorable but dangerous distinction. The warriors of each tribe attached"
"Vol. 1, APPENDIX I THE ANGLO-SAXON GOVERNMENT AND MANNERS",1,,APPENDIX I,,"THE GOVERNMENT of the Germans, and that of all the northern nations, who established themselves on the ruins of Rome, was always extremely free; and those fierce people, accustomed to independance and enured to arms, were more guided by persuasion than authority, in the submission which they paid to their princes. The military despotism, which had taken place in the Roman empire, and which, previously to the irruption of those conquerors, had sunk the genius of men, and destroyed every noble principle of science and virtue, was unable to resist the vigorous efforts of a free people; and Europe, as from a new epoch, rekindled her ancient spirit, and shook off the base servitude to arbitrary will and authority, under which she had so long laboured. The free constitutions then established, however impaired by the encroachments of succeeding princes, still preserve an air of independance and legal administration, which distinguish"
"Vol. 1, APPENDIX I THE ANGLO-SAXON GOVERNMENT AND MANNERS",1,,APPENDIX I,,"The Saxons, who subdued Britain, as they enjoyed great liberty in their own country, obstinately retained that invaluable possession in their new settlement; and they imported into this island the same principles of independance, which they had inherited from their ancestors. The chieftains (for such they were, more properly than kings or princes) who commanded them in those military expeditions, still possessed a very limited authority; and as the Saxons exterminated, rather than subdued the ancient inhabitants, they were indeed transplanted into a new territory, but preserved unaltered all their civil and military institutions. The language was pure Saxon; even the names of places, which often remain while the tongue entirely changes, were almost all affixed by the conquerors; the manners and customs were wholly German; and the same picture of a fierce and bold liberty, which is drawn by the masterly pencil of Tacitus, will suit those founders of the English government. The king, so far from being invested with arbitrary power, was only considered as the first among the citizens; his authority depended more on his personal qualities than on his station; he was even so far on a level with the people, that a stated price was fixed for his head, and a legal fine was levied upon his murderer, which, though proportionate to his station, and superior to that paid for the life of a subject, was a sensible mark of his subordination to the community."
"Vol. 1, APPENDIX I THE ANGLO-SAXON GOVERNMENT AND MANNERS",1,,APPENDIX I,,"But though the general strain of the Anglo-Saxon government seems to have become aristocratical, there were still considerable remains of the ancient democracy, which were not indeed sufficient to protect the lowest of the people, without the patronage of some great lord, but might give security, and even some degree of dignity, to the gentry or inferior nobility. The administration of justice, in particular, by the courts of the Decennary, the Hundred, and the County, was well calculated to defend general liberty, and to restrain the power of the nobles. In the county courts or shiremotes, all the freeholders were assembled twice a-year, and received appeals from the inferior courts. They there decided all causes, ecclesiastical as well as civil; and the bishop, together with the alderman or earl, presided over them.^w[30] The affair was determined in a summary manner, without much pleading, formality, or delay, by a majority of voices; and the bishop and alderman had"
"Vol. 1 V (WILLIAM RUFUS, p. 237)",1,,V,237,"Europe was at this time sunk into profound ignorance and superstition: The ecclesiastics had acquired the greatest ascendant over the human mind: The people, who, being little restrained by honour, and less by law, abandoned themselves to the worst crimes and disorders, knew of no other expiation than the observances imposed on them by their spiritual pastors: and it was easy to represent the holy war as an equivalent for all penances,^o[13] and an atonement for every violation of justice and humanity. But amidst the abject superstition, which now prevailed, the military spirit also had universally diffused itself; and though not supported by art or discipline, was become the general passion of the nations, governed by the feudal law. All the great lords possessed the right of peace and war: They were engaged in perpetual hostilities with each other: The open country was become a scene of outrage and disorder: The cities, still mean and poor, were neither guarded by walls, nor protected by privileges, and were exposed to every insult: Individuals were obliged to depend for safety on their own force, or their private alliances: And valour was the only excellence, which was held in esteem, or gave one man the preeminence above another. When all the particular superstitions, therefore, were here united in one great object, the ardour for military enterprizes took the same direction; and Europe, impelled by its two ruling passions, was loosened, as it were, from its foundations, and seemed to precipitate itself in one united body upon the east."
"Vol. 1 VI HENRY I, p. 254",1,,VI,254,"The Normans indeed, who domineered in England, were, during this age, so licentious a people, that they may be pronounced incapable of any true or regular liberty; which 〈〈requires such improvement in knowledge and morals〉〉{Ia(1762), 225.5/7: 〈〈requires such a refinement of laws and institutions, such a comprehension of views, such a sentiment of honour, such a spirit of obedience, and such a sacrifice of private interests and connexions to public order〉〉}†[1], as can only be the result of reflection and experience, and must grow to perfection during several ages of settled and established government. A people, so insensible to the rights of their sovereign, as to disjoint, without necessity, the hereditary succession, and permit a younger brother to intrude himself into the place of the elder, whom they esteemed, and who was guilty of no crime but being absent, could not expect, that that prince would pay any greater regard to their privileges, or allow his engagements to fetter his power, and debar him from any considerable interest or convenience. They had indeed arms in their hands, which prevented the establishment of a total despotism, and left their posterity sufficient power, whenever they should attain a sufficient degree of reason, to assume true liberty: But their turbulent disposition frequently prompted them to make such use of their arms, that they were more fitted to obstruct the execution of justice, than to stop the career of violence and oppression. The prince, finding that greater opposition was often made to him when he enforced the laws, than when he violated them, was apt to render his own will and pleasure the sole rule of government; and on every emergence to consider more the power of the persons whom he might offend, than the rights of those whom he might injure. The very form of this charter of Henry proves, that the Norman barons (for they, rather than the people of England, are chiefly concerned in it) were totally ignorant of the nature of limited monarchy, and were ill qualified to conduct, in conjunction with their sovereign, the machine of government. It is an act of his sole power, is the result of his free grace, contains some articles which bind others as well as himself, and is therefore unfit to be the deed of any one who possesses not the whole legislative power, and who may not at pleasure revoke all his concessions."
"Vol 1, VIII HENRY II State of Europe, p. 296-7",1,,VIII,296-7,"THE EXTENSIVE CONFEDERACIES, by which the European potentates are now at once united and set in opposition to each other, and which, though they [are apt to]{Ia(1762), 262.3: [ ]}†[1] diffuse the least spark of dissention throughout the whole, are at least attended with this advantage, that they prevent any violent revolutions or conquests in particular states, were totally unknown in ancient ages; and the theory of foreign politics, in each kingdom, formed a speculation much less complicated and involved than at present. Commerce had not yet bound together the most distant nations in so close a chain: Wars, finished in one campaign and often in one battle, were little affected by the movements of remote states: The imperfect communication among the kingdoms, and their ignorance of each other's situation, made it impracticable for a great number of them to combine in one project or effort: And above all, the turbulent spirit and independant situation of the barons or great vassals in each state gave so much occupation to the sovereign, that he was obliged to confine his attention chiefly to [his own state and]{Ia(1762), 262.14: [ ]}†[2] his own system of government, and was more indifferent about what passed among his neighbours. Religion alone, not politics, carried abroad the views of princes; while it either fixed their thoughts on the Holy Land, whose conquest and defence was deemed a point of common honour and interest, or engaged them in intrigues with the Roman pontiff, to whom they had yielded the direction of ecclesiastical affairs, and who was every day assuming more authority than they were willing to allow him."
"Vol 1, VIII HENRY II State of Europe, p. 298",1,,VIII,298,"The authority of the English monarch was much more extensive within his kingdom, and the disproportion much greater between him and the most powerful of his vassals. His demesnes and revenue were large, compared to the greatness of his state: He was accustomed to levy arbitrary exactions on his subjects: His courts of judicature extended their jurisdiction into every part of the kingdom: He could crush by his power, or by a judicial sentence, well or ill founded, any obnoxious baron: And though the feudal institutions which prevailed in his kingdom, had the same tendency, as in other states, to exalt the aristocracy, and depress the monarchy, it required, in England, according to its present constitution, a great combination of the vassals to oppose their sovereign lord, and there had not hitherto arisen any baron so powerful, as of himself to levy war against the prince, and afford protection to the inferior barons."
"Vol 1, VIII HENRY II State of Europe, p. 311-312",1,,VIII,311-312,"The union of the civil and ecclesiastical power serves extremely, in every civilized government, to the maintenance of peace and order; and prevents those mutual incroachments, which, as there can be no ultimate judge between them, are often attended with the most dangerous consequences. Whether the supreme magistrate, who unites these powers, receives the appellation of prince or prelate, is not material: The superior weight, which temporal interests commonly bear in the apprehensions of men above spiritual, renders the civil part of his character most prevalent; and in time prevents those gross impostures and bigotted persecutions, which, in all false religions, are the chief foundation of clerical authority. But during the progress of ecclesiastical usurpations, the state, by the resistance of the civil magistrate, is naturally thrown into convulsions; and it behoves the prince, both for his own interest, and for that of the public, to provide, in time, sufficient barriers against so dangerous and insidious a rival. This precaution had hitherto been much neglected in England, as well as in other catholic countries; and affairs at last seemed to have come to a dangerous crisis: A sovereign of the greatest abilities was now on the throne: A prelate of the most inflexible and intrepid character was possessed of the primacy: The contending powers appeared to be armed with their full force, and it was natural to expect some extraordinary event to result from their conflict."
