,volume,genre,left,right,burst_len,volume_number,add_to_paragraph_number,full_paragraph_number,chapter,chapter_start,start_in_chapter
0,Volume 1 (1762),dissertation,0,0,1,0,0,0,I,0,0
1,Volume 1 (1762),dissertation,4,4,1,0,0,4,I,0,4
2,Volume 1 (1762),dissertation,34,34,1,0,0,34,I,0,34
3,Volume 1 (1762),dissertation,39,39,1,0,0,39,I,0,39
4,Volume 1 (1762),dissertation,73,73,1,0,0,73,I,0,73
5,Volume 1 (1762),dissertation,114,114,1,0,0,114,II,77,37
6,Volume 1 (1762),dissertation,155,155,1,0,0,155,II,77,78
7,Volume 1 (1762),dissertation,262,262,1,0,0,262,APPENDIX I,238,24
8,Volume 1 (1762),dissertation,350,350,1,0,0,350,V,340,10
9,Volume 1 (1762),dissertation,359,359,1,0,0,359,V,340,19
10,Volume 1 (1762),enquiry,103,104,2,0,0,103,II,77,26
11,Volume 1 (1762),enquiry,147,148,2,0,0,147,II,77,70
12,Volume 1 (1762),enquiry,0,0,1,0,0,0,I,0,0
13,Volume 1 (1762),enquiry,475,475,1,0,0,475,VIII ,426,49
14,Volume 1 (1762),enquiry,272,272,1,0,0,272,APPENDIX I,238,34
15,Volume 1 (1762),enquiry,276,276,1,0,0,276,APPENDIX I,238,38
16,Volume 1 (1762),enquiry,278,278,1,0,0,278,APPENDIX I,238,40
17,Volume 1 (1762),enquiry,359,359,1,0,0,359,V,340,19
18,Volume 1 (1762),enquiry,388,388,1,0,0,388,VI,366,22
19,Volume 1 (1762),enquiry,525,525,1,0,0,525,IX,478,47
20,Volume 1 (1762),enquiry,507,507,1,0,0,507,IX,478,29
21,Volume 1 (1762),enquiry,262,262,1,0,0,262,APPENDIX I,238,24
22,Volume 1 (1762),enquiry,546,546,1,0,0,546,X,538,8
23,Volume 1 (1762),enquiry,644,644,1,0,0,644,XI,578,66
24,Volume 1 (1762),enquiry,647,647,1,0,0,647,XI,578,69
25,Volume 1 (1762),enquiry,653,653,1,0,0,653,APPENDIX II,648,5
26,Volume 1 (1762),enquiry,264,264,1,0,0,264,APPENDIX I,238,26
27,Volume 1 (1762),enquiry,260,260,1,0,0,260,APPENDIX I,238,22
28,Volume 1 (1762),enquiry,9,9,1,0,0,9,I,0,9
29,Volume 1 (1762),enquiry,257,257,1,0,0,257,APPENDIX I,238,19
30,Volume 1 (1762),enquiry,252,252,1,0,0,252,APPENDIX I,238,14
31,Volume 1 (1762),enquiry,249,249,1,0,0,249,APPENDIX I,238,11
32,Volume 1 (1762),enquiry,247,247,1,0,0,247,APPENDIX I,238,9
33,Volume 1 (1762),enquiry,206,206,1,0,0,206,III,156,50
34,Volume 1 (1762),enquiry,188,188,1,0,0,188,III,156,32
35,Volume 1 (1762),enquiry,166,166,1,0,0,166,III,156,10
36,Volume 1 (1762),enquiry,155,155,1,0,0,155,II,77,78
37,Volume 1 (1762),enquiry,143,143,1,0,0,143,II,77,66
38,Volume 1 (1762),enquiry,133,133,1,0,0,133,II,77,56
39,Volume 1 (1762),enquiry,107,107,1,0,0,107,II,77,30
40,Volume 1 (1762),enquiry,39,39,1,0,0,39,I,0,39
41,Volume 1 (1762),enquiry,656,656,1,0,0,656,APPENDIX II,648,8
42,Volume 1 (1762),essay,8,16,9,0,0,8,I,0,8
43,Volume 1 (1762),essay,257,263,7,0,0,257,APPENDIX I,238,19
44,Volume 1 (1762),essay,129,134,6,0,0,129,II,77,52
45,Volume 1 (1762),essay,0,4,5,0,0,0,I,0,0
46,Volume 1 (1762),essay,111,115,5,0,0,111,II,77,34
47,Volume 1 (1762),essay,238,242,5,0,0,238,APPENDIX I,238,0
48,Volume 1 (1762),essay,647,651,5,0,0,647,XI,578,69
49,Volume 1 (1762),essay,102,105,4,0,0,102,II,77,25
50,Volume 1 (1762),essay,598,601,4,0,0,598,XI,578,20
51,Volume 1 (1762),essay,247,250,4,0,0,247,APPENDIX I,238,9
52,Volume 1 (1762),essay,142,145,4,0,0,142,II,77,65
53,Volume 1 (1762),essay,272,274,3,0,0,272,APPENDIX I,238,34
54,Volume 1 (1762),essay,643,645,3,0,0,643,XI,578,65
55,Volume 1 (1762),essay,654,656,3,0,0,654,APPENDIX II,648,6
56,Volume 1 (1762),essay,69,71,3,0,0,69,I,0,69
57,Volume 1 (1762),essay,73,75,3,0,0,73,I,0,73
58,Volume 1 (1762),essay,519,520,2,0,0,519,IX,478,41
59,Volume 1 (1762),essay,254,255,2,0,0,254,APPENDIX I,238,16
60,Volume 1 (1762),essay,703,704,2,0,0,703,APPENDIX II,648,55
61,Volume 1 (1762),essay,276,277,2,0,0,276,APPENDIX I,238,38
62,Volume 1 (1762),essay,297,298,2,0,0,297,IV,286,11
63,Volume 1 (1762),essay,446,447,2,0,0,446,VIII ,426,20
64,Volume 1 (1762),essay,425,426,2,0,0,425,VII,405,20
65,Volume 1 (1762),essay,337,338,2,0,0,337,IV,286,51
66,Volume 1 (1762),essay,358,359,2,0,0,358,V,340,18
67,Volume 1 (1762),essay,631,632,2,0,0,631,XI,578,53
68,Volume 1 (1762),essay,506,507,2,0,0,506,IX,478,28
69,Volume 1 (1762),essay,381,382,2,0,0,381,VI,366,15
70,Volume 1 (1762),essay,217,218,2,0,0,217,III,156,61
71,Volume 1 (1762),essay,324,325,2,0,0,324,IV,286,38
72,Volume 1 (1762),essay,706,707,2,0,0,706,APPENDIX II,648,58
