,volume,genre,left,right,burst_len,volume_number,add_to_paragraph_number,full_paragraph_number,chapter,chapter_start,start_in_chapter
0,Volume 1 (1762),dissertation,38,42,5,0,0,38,I,0,38
1,Volume 1 (1762),dissertation,73,76,4,0,0,73,I,0,73
2,Volume 1 (1762),dissertation,643,644,2,0,0,643,XI,578,65
3,Volume 1 (1762),dissertation,4,4,1,0,0,4,I,0,4
4,Volume 1 (1762),dissertation,19,19,1,0,0,19,I,0,19
5,Volume 1 (1762),dissertation,34,34,1,0,0,34,I,0,34
6,Volume 1 (1762),dissertation,36,36,1,0,0,36,I,0,36
7,Volume 1 (1762),dissertation,44,44,1,0,0,44,I,0,44
8,Volume 1 (1762),dissertation,51,51,1,0,0,51,I,0,51
9,Volume 1 (1762),dissertation,128,128,1,0,0,128,II,77,51
10,Volume 1 (1762),dissertation,133,133,1,0,0,133,II,77,56
11,Volume 1 (1762),dissertation,155,155,1,0,0,155,II,77,78
12,Volume 1 (1762),dissertation,218,218,1,0,0,218,III,156,62
13,Volume 1 (1762),dissertation,277,277,1,0,0,277,APPENDIX I,238,39
14,Volume 1 (1762),dissertation,349,349,1,0,0,349,V,340,9
15,Volume 1 (1762),dissertation,475,475,1,0,0,475,VIII ,426,49
16,Volume 1 (1762),enquiry,103,104,2,0,0,103,II,77,26
17,Volume 1 (1762),enquiry,113,114,2,0,0,113,II,77,36
18,Volume 1 (1762),enquiry,276,277,2,0,0,276,APPENDIX I,238,38
19,Volume 1 (1762),enquiry,41,41,1,0,0,41,I,0,41
20,Volume 1 (1762),enquiry,143,143,1,0,0,143,II,77,66
21,Volume 1 (1762),enquiry,155,155,1,0,0,155,II,77,78
22,Volume 1 (1762),enquiry,188,188,1,0,0,188,III,156,32
23,Volume 1 (1762),enquiry,206,206,1,0,0,206,III,156,50
24,Volume 1 (1762),enquiry,247,247,1,0,0,247,APPENDIX I,238,9
25,Volume 1 (1762),enquiry,359,359,1,0,0,359,V,340,19
26,Volume 1 (1762),enquiry,475,475,1,0,0,475,VIII ,426,49
27,Volume 1 (1762),enquiry,601,601,1,0,0,601,XI,578,23
28,Volume 1 (1762),enquiry,644,644,1,0,0,644,XI,578,66
29,Volume 1 (1762),essay,139,144,6,0,0,139,II,77,62
30,Volume 1 (1762),essay,128,133,6,0,0,128,II,77,51
31,Volume 1 (1762),essay,37,42,6,0,0,37,I,0,37
32,Volume 1 (1762),essay,70,74,5,0,0,70,I,0,70
33,Volume 1 (1762),essay,348,351,4,0,0,348,V,340,8
34,Volume 1 (1762),essay,112,115,4,0,0,112,II,77,35
35,Volume 1 (1762),essay,238,240,3,0,0,238,APPENDIX I,238,0
36,Volume 1 (1762),essay,246,248,3,0,0,246,APPENDIX I,238,8
37,Volume 1 (1762),essay,642,644,3,0,0,642,XI,578,64
38,Volume 1 (1762),essay,446,447,2,0,0,446,VIII ,426,20
39,Volume 1 (1762),essay,519,520,2,0,0,519,IX,478,41
40,Volume 1 (1762),essay,425,426,2,0,0,425,VII,405,20
41,Volume 1 (1762),essay,366,367,2,0,0,366,VI,366,0
42,Volume 1 (1762),essay,2,3,2,0,0,2,I,0,2
43,Volume 1 (1762),essay,571,572,2,0,0,571,X,538,33
44,Volume 1 (1762),essay,576,577,2,0,0,576,X,538,38
45,Volume 1 (1762),essay,663,664,2,0,0,663,APPENDIX II,648,15
46,Volume 1 (1762),essay,263,264,2,0,0,263,APPENDIX I,238,25
47,Volume 1 (1762),essay,358,359,2,0,0,358,V,340,18
48,Volume 1 (1762),essay,706,707,2,0,0,706,APPENDIX II,648,58
49,Volume 1 (1762),essay,182,183,2,0,0,182,III,156,26
50,Volume 1 (1762),essay,103,104,2,0,0,103,II,77,26
51,Volume 1 (1762),essay,188,188,1,0,0,188,III,156,32
52,Volume 1 (1762),essay,599,599,1,0,0,599,XI,578,21
53,Volume 1 (1762),essay,44,44,1,0,0,44,I,0,44
54,Volume 1 (1762),essay,525,525,1,0,0,525,IX,478,47
55,Volume 1 (1762),essay,542,542,1,0,0,542,X,538,4
56,Volume 1 (1762),essay,546,546,1,0,0,546,X,538,8
57,Volume 1 (1762),essay,560,560,1,0,0,560,X,538,22
58,Volume 1 (1762),essay,35,35,1,0,0,35,I,0,35
59,Volume 1 (1762),essay,19,19,1,0,0,19,I,0,19
60,Volume 1 (1762),essay,590,590,1,0,0,590,XI,578,12
61,Volume 1 (1762),essay,595,595,1,0,0,595,XI,578,17
62,Volume 1 (1762),essay,601,601,1,0,0,601,XI,578,23
63,Volume 1 (1762),essay,508,508,1,0,0,508,IX,478,30
64,Volume 1 (1762),essay,604,604,1,0,0,604,XI,578,26
65,Volume 1 (1762),essay,606,606,1,0,0,606,XI,578,28
66,Volume 1 (1762),essay,16,16,1,0,0,16,I,0,16
67,Volume 1 (1762),essay,648,648,1,0,0,648,APPENDIX II,648,0
68,Volume 1 (1762),essay,650,650,1,0,0,650,APPENDIX II,648,2
69,Volume 1 (1762),essay,656,656,1,0,0,656,APPENDIX II,648,8
70,Volume 1 (1762),essay,661,661,1,0,0,661,APPENDIX II,648,13
71,Volume 1 (1762),essay,9,9,1,0,0,9,I,0,9
72,Volume 1 (1762),essay,668,668,1,0,0,668,APPENDIX II,648,20
73,Volume 1 (1762),essay,704,704,1,0,0,704,APPENDIX II,648,56
74,Volume 1 (1762),essay,514,514,1,0,0,514,IX,478,36
75,Volume 1 (1762),essay,506,506,1,0,0,506,IX,478,28
76,Volume 1 (1762),essay,193,193,1,0,0,193,III,156,37
77,Volume 1 (1762),essay,337,337,1,0,0,337,IV,286,51
78,Volume 1 (1762),essay,206,206,1,0,0,206,III,156,50
79,Volume 1 (1762),essay,218,218,1,0,0,218,III,156,62
80,Volume 1 (1762),essay,166,166,1,0,0,166,III,156,10
81,Volume 1 (1762),essay,252,252,1,0,0,252,APPENDIX I,238,14
82,Volume 1 (1762),essay,155,155,1,0,0,155,II,77,78
83,Volume 1 (1762),essay,273,273,1,0,0,273,APPENDIX I,238,35
84,Volume 1 (1762),essay,276,276,1,0,0,276,APPENDIX I,238,38
85,Volume 1 (1762),essay,285,285,1,0,0,285,APPENDIX I,238,47
86,Volume 1 (1762),essay,324,324,1,0,0,324,IV,286,38
87,Volume 1 (1762),essay,148,148,1,0,0,148,II,77,71
88,Volume 1 (1762),essay,487,487,1,0,0,487,IX,478,9
89,Volume 1 (1762),essay,353,353,1,0,0,353,V,340,13
90,Volume 1 (1762),essay,363,363,1,0,0,363,V,340,23
