,volume,genre,burst_len,chapter,start_in_chapter
0,Volume 1 (1762),dissertation,5,I,38
1,Volume 1 (1762),dissertation,4,I,73
2,Volume 1 (1762),dissertation,2,XI,65
3,Volume 1 (1762),dissertation,1,I,4
4,Volume 1 (1762),dissertation,1,I,19
5,Volume 1 (1762),dissertation,1,I,34
6,Volume 1 (1762),dissertation,1,I,36
7,Volume 1 (1762),dissertation,1,I,44
8,Volume 1 (1762),dissertation,1,I,51
9,Volume 1 (1762),dissertation,1,II,51
10,Volume 1 (1762),dissertation,1,II,56
11,Volume 1 (1762),dissertation,1,II,78
12,Volume 1 (1762),dissertation,1,III,62
13,Volume 1 (1762),dissertation,1,APPENDIX I,39
14,Volume 1 (1762),dissertation,1,V,9
15,Volume 1 (1762),dissertation,1,VIII ,49
16,Volume 1 (1762),enquiry,2,II,26
17,Volume 1 (1762),enquiry,2,II,36
18,Volume 1 (1762),enquiry,2,APPENDIX I,38
19,Volume 1 (1762),enquiry,1,I,41
20,Volume 1 (1762),enquiry,1,II,66
21,Volume 1 (1762),enquiry,1,II,78
22,Volume 1 (1762),enquiry,1,III,32
23,Volume 1 (1762),enquiry,1,III,50
24,Volume 1 (1762),enquiry,1,APPENDIX I,9
25,Volume 1 (1762),enquiry,1,V,19
26,Volume 1 (1762),enquiry,1,VIII ,49
27,Volume 1 (1762),enquiry,1,XI,23
28,Volume 1 (1762),enquiry,1,XI,66
29,Volume 1 (1762),essay,6,II,62
30,Volume 1 (1762),essay,6,II,51
31,Volume 1 (1762),essay,6,I,37
32,Volume 1 (1762),essay,5,I,70
33,Volume 1 (1762),essay,4,V,8
34,Volume 1 (1762),essay,4,II,35
35,Volume 1 (1762),essay,3,APPENDIX I,0
36,Volume 1 (1762),essay,3,APPENDIX I,8
37,Volume 1 (1762),essay,3,XI,64
38,Volume 1 (1762),essay,2,VIII ,20
39,Volume 1 (1762),essay,2,IX,41
40,Volume 1 (1762),essay,2,VII,20
41,Volume 1 (1762),essay,2,VI,0
42,Volume 1 (1762),essay,2,I,2
43,Volume 1 (1762),essay,2,X,33
44,Volume 1 (1762),essay,2,X,38
45,Volume 1 (1762),essay,2,APPENDIX II,15
46,Volume 1 (1762),essay,2,APPENDIX I,25
47,Volume 1 (1762),essay,2,V,18
48,Volume 1 (1762),essay,2,APPENDIX II,58
49,Volume 1 (1762),essay,2,III,26
50,Volume 1 (1762),essay,2,II,26
51,Volume 1 (1762),essay,1,III,32
52,Volume 1 (1762),essay,1,XI,21
53,Volume 1 (1762),essay,1,I,44
54,Volume 1 (1762),essay,1,IX,47
55,Volume 1 (1762),essay,1,X,4
56,Volume 1 (1762),essay,1,X,8
57,Volume 1 (1762),essay,1,X,22
58,Volume 1 (1762),essay,1,I,35
59,Volume 1 (1762),essay,1,I,19
60,Volume 1 (1762),essay,1,XI,12
61,Volume 1 (1762),essay,1,XI,17
62,Volume 1 (1762),essay,1,XI,23
63,Volume 1 (1762),essay,1,IX,30
64,Volume 1 (1762),essay,1,XI,26
65,Volume 1 (1762),essay,1,XI,28
66,Volume 1 (1762),essay,1,I,16
67,Volume 1 (1762),essay,1,APPENDIX II,0
68,Volume 1 (1762),essay,1,APPENDIX II,2
69,Volume 1 (1762),essay,1,APPENDIX II,8
70,Volume 1 (1762),essay,1,APPENDIX II,13
71,Volume 1 (1762),essay,1,I,9
72,Volume 1 (1762),essay,1,APPENDIX II,20
73,Volume 1 (1762),essay,1,APPENDIX II,56
74,Volume 1 (1762),essay,1,IX,36
75,Volume 1 (1762),essay,1,IX,28
76,Volume 1 (1762),essay,1,III,37
77,Volume 1 (1762),essay,1,IV,51
78,Volume 1 (1762),essay,1,III,50
79,Volume 1 (1762),essay,1,III,62
80,Volume 1 (1762),essay,1,III,10
81,Volume 1 (1762),essay,1,APPENDIX I,14
82,Volume 1 (1762),essay,1,II,78
83,Volume 1 (1762),essay,1,APPENDIX I,35
84,Volume 1 (1762),essay,1,APPENDIX I,38
85,Volume 1 (1762),essay,1,APPENDIX I,47
86,Volume 1 (1762),essay,1,IV,38
87,Volume 1 (1762),essay,1,II,71
88,Volume 1 (1762),essay,1,IX,9
89,Volume 1 (1762),essay,1,V,13
90,Volume 1 (1762),essay,1,V,23
91,Volume 1 (1762),essay,1,II,8
