genre,title,word-count,paragraph-count
abstract,An Abstract of A Treatise of Human Nature,6390,40
dialogues,Pamphilus to Hermippus,762,6
dialogues,Part 1,3789,20
dialogues,Part 2,4329,28
dialogues,Part 3,1929,13
dialogues,Part 4,2329,14
dialogues,Part 5,1685,13
dialogues,Part 6,2023,13
dialogues,Part 7,2075,17
dialogues,Part 8,2023,12
dialogues,Part 9,1622,11
dialogues,Part 10,3605,37
dialogues,Part 11,4295,21
dialogues,Part 12,5289,34
dissertation,Section 1,1841,24
dissertation,Section 2,4609,47
dissertation,Section 3,950,14
dissertation,Section 4,1235,13
dissertation,Section 5,455,4
dissertation,Section 6,1432,19
enquiry HU,Section 1: Of the Different Species of Philosophy,3574,17
enquiry HU,Section 2: Of the Origin of Ideas,1754,9
enquiry HU,Section 3: Of the Association of Ideas,460,3
enquiry HU,Section 4: Sceptical Doubts concerning the Operations of the Understanding,4924,23
enquiry HU,Section 5: Sceptical Solution of these Doubts,4644,22
enquiry HU,Section 6: Of Probability,952,4
enquiry HU,Section 7: Of the Idea of Necessary Connexion,5800,30
enquiry HU,Section 8: Of Liberty and Necessity,7451,36
enquiry HU,Section 9: Of the Reason of Animals,1136,6
enquiry HU,Section 10: Of Miracles,6984,41
enquiry HU,Section 11: Of a Particular Providence and of a Future State,5354,30
enquiry HU,Section 12: Of the Academical or Sceptical Philosophy,4883,34
enquiry PoM,Section 1: Of the General Principles of Morals,1918,11
enquiry PoM,Section 2 : Of Benevolence,1771,23
enquiry PoM,Section 3: Of Justice,6025,48
enquiry PoM,Section 4: Of Political Society,1732,20
enquiry PoM,Section 5: Why Utility Pleases,5592,47
enquiry PoM,Section 6: Of Qualities useful to Ourselves,4604,35
enquiry PoM,Section 7: Of Qualities immediately Agreeable to Ourselves,2903,29
enquiry PoM,Section 8: Of Qualities immediately Agreeable to Others,2095,15
enquiry PoM,Section 9: Conclusion,4954,25
enquiry PoM,Appendix 1: Concerning Moral Sentiment,3180,21
enquiry PoM,Appendix 2: Of Self-Love,2305,13
enquiry PoM,Appendix 3: Some Farther Considerations with regard to Justice,1910,11
enquiry PoM,Appendix 4: Of Some Verbal Disputes,2981,22
enquiry PoM,A Dialogue,6285,57
essay,Essay 1: Of the Delicacy of Taste and Passion,1263,9
essay,Essay 2: Of the Liberty of the Press,1030,6
essay,Essay 3: That Politics may be Reduced to a Science,4125,21
essay,Essay 4: Of the First Principles of Government,1368,8
essay,Essay 5: Of the Origin of Government,1370,7
essay,Essay 6: Of the Independency of Parliament,1443,8
essay,"Essay 7: Whether the British Government inclines more to Absolute Monarchy, or to a Republic",1799,8
essay,Essay 8: Of Parties in General,2334,15
essay,Essay 9: Of the Parties of Great Britain,2287,12
essay,Essay 10: Of Superstition and Enthusiasm,1629,10
essay,Essay 11: Of the Dignity or Meanness of Human Nature,2243,11
essay,Essay 12: Of Civil Liberty,2692,14
essay,Essay 13: Of Eloquence,3659,21
essay,Essay 14: Of the Rise and Progress of the Arts and Sciences,7747,50
essay,Essay 15: The Epicurean,2380,16
essay,Essay 16: The Stoic,2856,20
essay,Essay 17: The Platonist,1138,7
essay,Essay 18: The Sceptic,6786,55
essay,Essay 19: Of Polygamy and Divorces,2891,22
essay,Essay 20: Of Simplicity and Refinement in Writing,1631,12
essay,Essay 21: Of National Characters,4654,35
essay,Essay 22: Of Tragedy,2737,28
essay,Essay 23: Of the Standard of Taste,7758,36
essay,Essay 1: Of Commerce,4752,22
essay,Essay 2: Of Refinement in the Arts,4052,22
essay,Essay 3: Of Money,4120,22
essay,Essay 4: Of Interest,4075,20
essay,Essay 5: Of the Balance of Trade,5439,39
essay,Essay 6: Of the Jealousy of Trade,1318,7
essay,Essay 7: Of the Balance of Power,2443,19
essay,Essay 8: Of Taxes,1586,11
essay,Essay 9: Of Public Credit,4865,33
essay,Essay 10: Of Some Remarkable Customs,2554,16
essay,Essay 11: Of the Populousness of Ancient Nations,18545,186
essay,Essay 12: Of the Original Contract,6762,49
essay,Essay 13: Of Passive Obedience,1185,6
essay,Essay 14: Of the Coalition of Parties,2582,18
essay,Essay 15: Of the Protestant Succession,3093,23
essay,Essay 16: Idea of a Perfect Commonwealth,5057,70
essay,Essay 1: Of Essay Writing,1436,9
essay,Essay 2: Of Moral Prejudices,1851,6
essay,Essay 3: Of the Middle Station of Life,1818,11
essay,Essay 4: Of Impudence and Modesty,1313,6
essay,Essay 5: Of Love and Marriage,1844,9
essay,Essay 6: Of the Study of History,1563,7
essay,Essay 7: Of Avarice,1355,7
essay,Essay 8: A Character of Sir Robert Walpole,438,2
essay,Essay 1: Of the Immortality of the Soul,2504,43
essay,Essay 2: Of Suicide,3441,8
history,I,18713,77
history,II,18586,79
history,III,20030,82
history,APPENDIX I,9512,48
history,IV,15752,54
history,V,7073,26
history,VI,11796,39
history,VII,6096,21
history,VIII ,16139,52
history,IX,14137,60
history,X,11228,40
history,XI,18343,70
history,APPENDIX II,11858,60
history,XII,26691,104
history,XIII,27878,100
history,XIV,13351,49
history,XV,22943,89
history,XVI,16176,82
history,XVII,17669,76
history,XVIII,7137,31
history,XIX,11292,46
history,XX,16822,74
history,XXI,11128,43
history,XXII,14853,53
history,XXIII,12319,45
history,XXIV,7739,35
history,XXV,11408,44
history,XXVI,11250,47
history,XXVII,12368,50
history,XXVIII,8955,39
history,XXIX,15213,71
history,XXX,14994,61
history,XXXI,19126,73
history,XXXII,11802,51
history,XXXIII,16602,67
history,XXXIV,14173,58
history,XXXV,11808,56
history,XXXVI,11240,41
history,XXXVII,13871,52
history,XXXVIII,18634,63
history,XXXIX,25299,91
history,XL,23893,90
history,XLI,15629,48
history,XLII,21776,80
history,XLIII,12289,48
history,XLIV,16346,64
history,APPENDIX III,11766,68
history,XLV,9267,52
history,XLVI,12550,66
history,XLVII,11055,51
history,XLVIII,8373,42
history,XLIX,10414,57
history,"APPENDIX TO THE REIGN OF JAMES I{Va(1754), 116: [note]}^*",12092,72
history,L,11693,67
history,LI,12608,69
history,LII,11948,84
history,LIII,12754,67
history,LIV,18008,115
history,LV,20343,112
history,LVI,15367,79
history,LVII,11915,62
history,LVIII ,11455,68
history,LIX,21386,146
history,LX,20256,103
history,LXI,21203,96
history,LXII,17074,106
history,LXIII,14011,70
history,LXIV,16412,101
history,LXV,20215,100
history,LXVI,18601,87
history,LXVII,17192,69
history,LXVIII,13295,59
history,LXIX,16256,70
history,LXX,18244,73
history,LXXI,19304,105
letter,A Letter from a Gentleman,6599,46
natural history,Introduction,317,1
natural history,Section 1: That Polytheism was the Primary Religion of Man,1300,8
natural history,Section 2: Origin of Polytheism,904,5
natural history,Section 3: The Same Subject Continued,1377,6
natural history,Section 4: Deities not considered as Creators or Formers of the World,1799,14
natural history,"Section 5: Various Forms of Polytheism: Allegory, Hero-Worship",1175,10
natural history,Section 6: Origin of Theism from Polytheism,1599,12
natural history,Section 7: Confirmation of this Doctrine,565,3
natural history,Section 8: Flux and Reflux of Polytheism and Theism,648,2
natural history,"Section 9: Comparison of these Religions, with regard to Persecution and Toleration",987,7
natural history,Section 10: With regard to Courage or Abasement,458,6
natural history,Section 11: With regard to Reason or Absurdity,710,5
